Rating_Number,Votes_Number,Computer_Score,Group_Rank,Group_Rank_Size,Total_Rank,Total_Rank_Size,PPI,HDMI,WiFi,Inbuilt Microphone,Bluetooth,SSD Interface,Keyboard,Microphone In,Speakers,Keyboard Backlit,Anti Glare Screen,GPU,Model,Series,Size,Warranty,Device Type,Touch,Processor,Resolution,OS,Battery,Features,Generation,RAM,Optical Drive,Adapter Type,Solid State Drive,Cache,Battery Details,Dimensions,Touchpad,Headphone Jack,Camera,Speed,RAM Bus Speed,Cores,Sales Package,Weight,Security Lock Port,Brand,Utility,USB Ports,Process Node,Ethernet,Type,Price
4.3,3,2,25,447,653,2352,~ 141PPI,1 x HDMI 2.0 Port,"Wi-Fi 6 11ax, 2x2",Built-in Dual Array Microphones,v5,No,"White Backlit, English, Yes",Yes,speakers Two built-in stereo speakers,Yes,Yes,NVIDIA GeForce GTX 1650,15IHU6,IdeaPad Gaming,15.6inches,Onsite Warranty + 1 Year Premium Care + 1 Year Accidentaly Damage Protection,Netbook,No,11th Gen Intel Core i5 11320H,1920x1080pixels,Windows 11 Home (64-bit),45Wh Battery,"250nits , 60Hz, 45% NTSC, DC dimmer",11th Gen,8GB DDR4,No,No,512GB,8MB,No,359.6x251.9x24.2mm,Yes,No,Yes,4 x 2.5GHz (Turbo Speed upto 3.2GHz) Cores,3200MHz,"Quad Core, 8 Threads","Laptop, Battery, Adapter, Cables and User Manuals",2.25kg,No,Intel,Gaming,"1 x USB Type-C, 2 x USB 3.0, 1 x USB 2.0",No,100/1000M,Full HD IPS,"53,990"
4.5,93,2,2,260,501,2352,~ 141PPI,1 x HDMI Port,Intel 6 AX201(2*2 ax),Yes,v5.2,NVMe,"Single (Red), No",Yes,Build-in Dual Speakers,Yes,Yes,NVIDIA GeForce GTX 1650,11SC-1299IN,GF63 Thin,15.6inches,2years Warranty,Netbook,No,11th Gen Intel Core i5 11400H,1920x1080pixels,Windows 11 Home (64-bit),3 Cell Battery,45%NTSC,11th Gen,8GB DDR4,No,120W adapter,512GB,12MB,No,No,Yes,Yes,Yes,6 x 2.2GHz (Turbo Speed upto 4.5GHz) Cores,3200MHz,"Hexa Core, 12 Threads","Laptop, battery, power adapter, user guide",1.86kg,No,Intel,Performance,"1 x USB Type-C, 3 x USB 3.0",No,Yes,IPS-Level,"49,990"
4.2,328,2,17,481,507,2352,~ 137PPI,1 x HDMI 2.1 Port,Yes,Dual Array Digital Microphones,Yes,NVMe,"Full-size, Ceramic White Keyboard With Numeric Keypad",Yes,Dual speakers,Yes,Yes,NVIDIA GeForce GTX 1650,16-d0310TX,Victus,16.1inches,1year Warranty,Netbook,No,11th Gen Intel Core i5 11400H,1920x1080pixels,Windows 11 Home (64-bit),"70Wh, 4 Cell Battery",250nits Brightness,11th Gen,8GB DDR4,No,No,512GB,12MB,\u200e70 Watt Hours,370x262x23.5mm,Precision Touchpad Support,Yes,Yes,6 x 2.2GHz (Turbo Speed upto 4.5GHz) Cores,2933MHz,"Hexa Core, 12 Threads",No,2.48kg,No,Intel,Gaming,"1 x USB Type-C, 3 x USB 3.0",No,Integrated 10/100/1000 GbE LAN,IPS,"60,500"
4.5,5,2,149,447,1126,2352,~ 141PPI,1 x HDMI v2.0b Port,Yes,Built-in Array Microphone,Yes,No,"RGB Backlit Chiclet English Keyboard, Yes",Yes,Built in Speakers,Yes,Yes,NVIDIA GeForce GTX 1650,FX506LHB-HN355WS,TUF Gaming F15,15.6inches,1year Onsite Warranty,Netbook,No,10th Gen Intel Core i5 10300H,1920x1080pixels,Windows 11 Home (64-bit),3 Cell Battery,"250nits Brightness, 144 Hz Refresh Rate, 45% NTSC Color Gamut, 62.5% sRGB",10th Gen,8GB DDR4,No,No,512GB,8MB,No,359x256x24.9mm,Precision Touchpad with Multi-Gesture Support,Yes,Yes,4 x 2.5GHz (Turbo Speed upto 4.5GHz) Cores,No,"Quad Core, 8 Threads","Laptop, Power Adaptor, User Guide, Warranty Documents",2.3kg,Kensington Lock Port,Intel,"Gaming, Performance","1 x USB Type-C, 2 x USB 3.0, 1 x USB 2.0",No,10/100/1000,"Full HD LED Backlit, IPS Display","54,990"
3.85,392,2,2,319,1106,2352,~ 147PPI,1 x HDMI v1.4b Port,802.11ac 1x1 Wi-Fi,Yes,v5,No,English Keyboard,Yes,1.5W x 2 Stereo Speakers,No,Yes,AMD Radeon Graphics,82KDA01BIH,V15,15.6inches,1year Onsite Warranty,Ultrabook,No,5th Gen AMD Ryzen 3 5300U,1920x1080pixels,Windows 11 Home (64-bit),No,"250 nits, Contrast Ratio - 500:1, 90° Viewing Angle",5th Gen,8GB DDR4,No,65W AC Adapter,512GB,4MB,No,359x236x19.9mm,Yes,Yes,"Yes, 1MP",4 x 2.6GHz (Turbo Speed upto 3.8GHz) Cores,3200MHz,"Quad Core, 8 Threads","Laptop, Power Adaptor, User Guide, Warranty Documents",1.74kg,Yes,AMD,Performance,"1 x USB Type-C, 2 x USB 3.0, 1 x USB 2.0",No,Yes,LCD Display,"33,399"
4.15,334,2,16,345,1270,2352,~ 141PPI,1 x HDMI v1.4b Port,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2),Yes,v5,NVMe,"Full-size, natural silver keyboard with numeric keypad",Yes,Dual Speakers,Yes,Yes,Intel UHD Graphics,15s-fq2717TU,Laptop,15.6inches,1year Onsite Warranty,Ultrabook,No,11th Gen Intel Core i3 1115G4,1920x1080pixels,Windows 11 Home (64-bit),"41Wh, 3 Cell Battery","Micro-Edge, 250 nits Brightness, Color Gamut: 45% NTSC",11th Gen,8GB DDR4,No,45 W Smart AC Power Adapter,512GB,6MB,41 Wh Li-ion,358x242x17.9mm,Yes,Yes,HP True Vision 720p HD Camera,2 x 3GHz (Turbo Speed upto 4.1GHz) Cores,3200MHz,"Dual Core, 4 Threads","Laptop, battery, adapter, cables and user manuals",1.69kg,No,Intel,Performance,"1 x USB Type-C, 2 x USB Type-A, 2 x USB 3.0",10 nm SuperFin,No,IPS,"38,990"
4.1,440,2,1,345,922,2352,~ 141PPI,1 x HDMI v1.4b Port,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2),Integrated Dual Array Digital Microphone,v5,No,Full-size Jet Black Keyboard with Numeric Keypad,Yes,Built-in Dual Speakers,No,Yes,Intel Integrated UHD,15s-du3614TU,15s,15.6inches,1year Onsite Warranty,Ultrabook,No,11th Gen Intel Core i3 1115G4,1920x1080pixels,Windows 11 Home (64-bit),"41Wh, 3 Cell Battery","Full HD LED Backlit IPS Micro-edge Display (250 nits Brightness, 141 ppi, 45% NTSC Color Gamut)",11th Gen,8GB DDR4,No,41 W AC adapter W,256GB,6MB,No,358x242x18mm,Yes,Yes,Yes,2 x 3GHz (Turbo Speed upto 4.1GHz) Cores,3200MHz,"Dual Core, 4 Threads","Laptop, Power Adaptor, User Guide, Warranty Documents",1.75kg,No,Intel,Performance,"1 x USB Type-C, 2 x USB 3.0",10 nm SuperFin,Integrated 10/100/1000 Gigabit Ethernet LAN,LED,"38,890"
4.2,79,3,17,178,1580,2352,~ 157PPI,1 x HDMI 1.4 Port,Yes,Built In Dual Digital Array Microphone,v5.1,NVMe PCIe Gen3,Yes,Yes,Built In Dual Speakers,Yes,No,Intel Integrated UHD Graphics,XL23,X2 Slim Series,14inches,1year Onsite Warranty,Ultrabook,No,11th Gen Intel Core i3  1115G4,1920x1080pixels,Windows 11 Home (64-bit),50Wh Battery,"300nits peak brightness, 100% sRGB, NTSC 72%",11th Gen,8GB LPDDR4X,No,65W Type-C,256GB,6MB,No,No,Yes,Yes,Yes,2 x 3GHz (Turbo Speed upto 4.1GHz) Cores,4266MHz,"Dual Core, 4 Threads","Laptop, Power Adaptor, User Guide, Warranty Documents",1.24kg,Yes,Intel,"Everyday Use, Performance","2 x USB Type-C, 2 x USB 3.0",10 nm SuperFin,No,IPS Display,"29,990"
4.4,116,3,15,178,1568,2352,~ 157PPI,1 x HDMI 1.4 Port,Yes,Built In Dual Digital Array Microphone,v5.1,NVMe PCIe Gen3,Yes,Yes,Built In Dual Speakers,Yes,No,Intel Integrated UHD Graphics,1115G4,X2 Slim Series,14inches,1year Onsite Warranty,Ultrabook,No,11th Gen Intel Core i3  1115G4,1920x1080pixels,Windows 11 Home (64-bit),50Wh Battery,"300nits peak brightness, 100% sRGB, NTSC 72%",11th Gen,8GB LPDDR4X,No,65W Type-C,512GB,6MB,No,No,Yes,Yes,Yes,2 x 3GHz (Turbo Speed upto 4.1GHz) Cores,4266MHz,"Dual Core, 4 Threads","Laptop, Power Adaptor, User Guide, Warranty Documents",1.24kg,Yes,Intel,"Everyday Use, Performance","2 x USB Type-C, 2 x USB 3.0",10 nm SuperFin,No,"FHD, IPS Display","31,990"
4.45,57,2,65,315,457,2352,~ 157PPI,1 x HDMI 2.1 Port,Intel Wi-Fi 6E AX211 (2x2),Built-in Dual Array Digital Microphones,v5.3,NVMe,"Full-size, backlit, Natural Silver keyboard, Yes",Yes,Built-in Dual Speakers,Yes,No,Intel Integrated Iris Xe,14-ek1020TU,Pavilion x360,14inches,1year Onsite Warranty,2 In 1,Yes,13th Gen Intel Core i7 1355U,1920x1080pixels,Windows 11 Home (64-bit),"43Wh, 3 Cell Battery","edge-to-edge glass, micro-edge, 250 nits, 45% NTSC",13th Gen,16GB DDR4,No,65 W Smart AC power adapter,512GB,12MB,43 Wh Li-ion,325x216x17mm,HP Imagepad with multi-touch gesture support,Yes,"Yes, 5MP",2 x (Turbo Speed upto 5GHz) Performance Cores  8 x (Turbo Speed upto 3.7GHz) Efficient Cores,3200MHz,"10 Cores (2P + 8E), 12 Threads","Laptop, Power Adaptor, User Guide, HP Rechargeable MPP2.0 Tilt Pen, Warranty Documents",1.41kg,No,Intel,"Everyday Use, Business, Performance","1 x USB Type-C, 2 x USB 3.0",No,No,IPS,"90,500"
4.2,153,3,200,345,1919,2352,~ 141PPI,1 x HDMI 1.4 Port,Wi-Fi 5 (802.11ac),Yes,v5.1,No,No,Yes,Built-in Speakers,Yes,No,Intel Integrated Iris Xe,XL25,INBook X2 Plus,15.6inches,1year Onsite Warranty,Ultrabook,No,11th Gen Intel Core i5 1155G7,1920x1080pixels,Windows 11 Home (64-bit),No,"300nits peak brightness, 100% sRGB, NTSC 72%",11th Gen,16GB LPDDR4X,No,No,512GB,8MB,No,No,Yes,Yes,Yes,4 x 2.5GHz (Turbo Speed upto 4.5GHz) Cores,No,"Quad Core, 8 Threads","Laptop, Power Adaptor, User Guide, Warranty Documents",1.58kg,No,Intel,Performance,"2 x USB Type-C, 2 x USB 3.0",10nm SuperFin,No,IPS FHD Display,"40,990"
4.55,89,3,354,453,1497,2352,~ 141PPI,1 x HDMI Port,Yes,Yes,Yes,NVMe,No,Yes,No,Yes,Yes,Intel Iris Xe Graphics,IN5430YXVW9M01ORS1,Inspiron 5430,14inches,1year Warranty,Netbook,No,13th Gen Intel Core i5 1335U,1920x1080pixels,Windows 11 Home (64-bit),"54Wh, 4 Cell Battery",250 nits,13th Gen,8GB LPDDR5,No,No,512GB,12MB,No,321.4x212x19.3mm,Yes,Yes,Yes,2 x (Turbo Speed upto 4.6GHz) Performance Cores  8 x (Turbo Speed upto 3.4GHz) Efficient Cores,4800MHz,"10 Cores (2P + 8E), 12 Threads","Laptop,Adaptor, Power Cable, User Manual",1.36kg,No,Intel,Everyday Use,"1 x USB Type-C, 2 x USB 3.0",10nm,No,LED,"65,223"
4.4,1,2,88,447,936,2352,~ 141PPI,1 x HDMI 1.4 Port,Wi-Fi 6(802.11ax),Built-in Microphone,v5,No,"Backlit Chiclet Keyboard with Num-key, Yes",Yes,Built-in Speaker,Yes,Yes,AMD Radeon Graphics,KM513UA-L711WS,VivoBook K15 OLED,15.6inches,1year Onsite Warranty,Ultrabook,No,5th Gen AMD Ryzen 7  5700U,1920x1080pixels,Windows 11 Home (64-bit),"42Wh, 3 Cell Battery","600 nits Peak Brightness, 100% DCI-P3 Color Gamut",5th Gen,16GB DDR4,No,65W AC Adapter,512GB,8MB,No,359.8x235.3x18.6mm,Yes,Yes,Yes,8 x 1.8GHz (Turbo Speed upto 4.3GHz) Cores,No,"Octa Core, 16 Threads","Laptop, Power Adaptor, User Guide, Warranty Documents",1.8kg,No,AMD,Performance,"1 x USB Type-C, 1 x USB 3.0, 2 x USB 2.0",No,No,FHD,"55,990"
4.4,6,2,10,481,727,2352,~ 141PPI,1 x HDMI Port,802.11a/b/g/n/acR2+ax wireless LAN,Built-in Dual Microphone,v5.1,No,103- 104- 107-key FineTip,Yes,Two built-in stereo speakers,Yes,Yes,NVIDIA GeForce GTX 1650,A715-42G,Aspire 7,15.6inches,1year Warranty,Netbook,No,5th Gen AMD Ryzen 5  5500U,1920x1080pixels,Windows 11 Home (64-bit),3 Cell Battery,45% NTSC color gamut,5th Gen,16GB DDR4,No,No,512GB,8MB,No,363.4x254.5x22.9mm,Touchpad with Multi-touch Gesture Support,No,Yes,6 x 2.1GHz (Turbo Speed upto 4GHz) Cores,No,"Hexa Core, 12 Threads","Laptop, Power Adaptor, User Guide, Warranty Documents",2.15kg,No,AMD,"Everyday Use, Gaming, Business, Performance","1 x USB Type-C, 2 x USB 3.0, 1 x USB 2.0",No,Gigabit Ethernet,TFT LCD,"59,500"
4.6,78,2,28,447,657,2352,~ 141PPI,1 x HDMI Port,802.11a/b/g/n+ax wireless LAN,Built-in Digital Microphone,v5.2,No,"99- 100- 103-key Acer with international language support, with indicators of CapsLock and F4/Microphone mute, Yes",Yes,Built In Dual Stereo Speakers,Yes,No,NVIDIA GeForce GTX 1650,A715-51G,Aspire 7,15.6inches,1year Warranty,Netbook,No,12th Gen Intel Core i5 1240P,1920x1080pixels,Windows 11 Home (64-bit),"50Wh, 3 Cell Battery",No,12th Gen,8GB DDR4,No,No,512GB,12MB,"50 Wh, Li-ion battery pack",362.3x237.4x19.9mm,Touchpad with Multi-touch Gesture Support,Yes,Yes,4 x 1.7GHz (Turbo Speed upto 4.4GHz) Performance Cores  8 x 1.2GHz (Turbo Speed upto 3.3GHz) Efficient Cores,No,"12 Cores (4P + 8E), 16 Threads","Laptop, Power Adaptor, User Guide, Warranty Documents",2.1kg,Kensington Lock Slot,Intel,"Everyday Use, Gaming, Business, Performance","1 x USB Type-C, 3 x USB 3.0",12 nm,Yes,IPS,"56,990"
4.1,67,2,65,453,653,2352,~ 141PPI,1 x HDMI 1.4 Port,Wi-Fi 6(802.11ax) Dual band) 2*2,Yes,v5,NVMe PCIe Gen3,Backlit Chiclet Keyboard,Yes,Built-in Speakers,Yes,Yes,NVIDIA GeForce RTX 3050,M6500QC-HN542WS,Vivobook Pro 15,15.6inches,1year Onsite Warranty,Netbook,No,5th Gen AMD Ryzen 5  5600H,1920x1080pixels,Windows 11 Home (64-bit),"50Wh, 3 Cell Battery","250nits, 45% NTSC color gamut",5th Gen,16GB DDR4,No,No,512GB,16MB,50 WHrs Li-ion,359.8x234.3x19.9mm,Yes,Yes,Yes,6 x 3.3GHz (Turbo Speed upto 4.2GHz) Cores,3200MHz,"Hexa Core, 12 Threads","Laptop, Power Adaptor, User Guide, Warranty Documents",1.8kg,No,AMD,Gaming,"1 x USB Type-C, 1 x USB 3.0, 2 x USB 2.0",No,No,IPS-level Panel,"63,990"
4.45,545,2,43,332,508,2352,~ 141PPI,1 x HDMI 2.0 Port,"6, 11ax 2 x 2",Built-in Dual Array Microphone,v5.1,NVMe PCIe Gen3,"White Backlit, English, Yes",Yes,Built-in 2W Dual Stereo Speakers,Yes,Yes,NVIDIA GeForce RTX 3050,"82K20145IN, 15ACH6, Gaming 3",IdeaPad,15.6inches,1year Warranty,Netbook,No,5th Gen AMD Ryzen 7 5800H,1920x1080pixels,Windows 11 Home (64-bit),45Wh Battery,"250nits, 45% NTSC",5th Gen,16GB DDR4,No,No,512GB,16MB,45Wh,359.6x251.9x24.2mm,Yes,Yes,Yes,8 x 3.2GHz (Turbo Speed upto 4.4GHz) Cores,3200MHz,"Octa Core, 16 Threads","Laptop, Battery, Adapter, Cables, User Manuals",2.25kg,No,AMD,Gaming,"2 x USB 3.0, 1 x USB 2.0",No,100/1000M (RJ-45),IPS,"74,990"
4.4,240,2,2,260,564,2352,~ 141PPI,1 x HDMI 2.0 Port,"Wi-Fi 6, 11ax 2x2",Built-in Dual Array Microphone,v5,NVMe,"White Backlit, English, Yes",Yes,Built-in 2W Dual Stereo Speakers,Yes,Yes,NVIDIA GeForce GTX 1650,82K2022TIN,"IdeaPad 15ACH6, Gaming 3",15.6inches,1year Warranty,Netbook,No,5th Gen AMD Ryzen 5 5600H,1920x1080pixels,Windows 11 Home (64-bit),45Wh Battery,"250 nits, 45% NTSC",5th Gen,8GB DDR4,No,135W Slim Tip,512GB,16MB,45Wh,359.6x251.9x24.2mm,Yes,Yes,Yes,6 x 3.3GHz (Turbo Speed upto 4.2GHz) Cores,3200MHz,"Hexa Core, 12 Threads","Laptop, Battery, Adapter, Cables, User Manuals",2.25kg,No,AMD,Gaming,"1 x USB Type-C, 2 x USB 3.0, 1 x USB 2.0",No,100/1000M (RJ-45),IPS,"51,990"
